Modules;Single Faults 7.22;Integ Faults 7.22;Minor 7.22;Normal 7.22;Major 7.22;Critical 7.22;Single Faults 7.23;Integ Faults 7.23;Minor 7.23;Normal 7.23;Major 7.23;Critical 7.23
BACKUP_AND_MIGRATE;80;4;8;58;9;9;80;4;8;58;9;9
BLOG;1;3;0;2;2;0;0;3;0;1;2;0
CAPTCHA;17;1;1;14;3;0;17;1;1;14;3;0
CKEDITOR;197;11;6;165;29;8;197;9;6;163;29;8
COMMENT;10;19;2;20;5;2;13;15;3;16;5;4
CTOOLS;181;31;17;146;39;10;181;31;17;146;39;10
CTOOLS_ACCESS_RULESET;0;0;0;0;0;0;0;0;0;0;0;0
CTOOLS_CUSTOM_CONTENT;10;1;2;7;2;0;10;1;2;7;2;0
DATE;44;3;4;30;12;1;44;3;4;30;12;1
DATE_API;41;1;3;29;9;1;41;1;3;29;9;1
DATE_POPUP;30;1;2;28;1;0;30;1;2;28;1;0
DATE_VIEWS;25;1;1;18;7;0;25;1;1;18;7;0
EENTITY_API;175;18;9;128;43;13;175;18;9;128;43;13
ENTITY_TOKENS;22;6;0;19;8;1;22;6;0;19;8;1
FEATURES;97;9;3;81;17;5;97;9;3;81;17;5
FIELD;45;18;6;43;12;2;48;17;7;45;11;2
FIELD_SQL_STORAGE;3;2;0;5;0;0;3;2;0;5;0;0
FIELD_UI;13;2;6;9;0;0;11;1;6;6;0;0
FILE;10;5;1;8;5;1;11;5;1;9;5;1
FILTER;19;5;3;19;0;2;19;5;3;19;0;2
FORUM;6;4;0;6;4;0;5;4;0;6;3;0
GOOGLE_ANALYTICS;11;1;0;8;2;2;11;1;0;8;2;2
IMAGE;10;8;1;10;6;1;9;6;1;9;4;1
IMAGE_CAPTCHA;3;0;0;3;0;0;3;0;0;3;0;0
IMCE;9;5;0;12;1;1;9;5;0;12;1;1
JQUERY_UPDATE;64;12;4;48;14;10;64;12;4;48;14;10
LIBRARIES_API;11;0;1;6;3;1;11;0;1;6;3;1
LINK;82;4;6;68;9;3;82;4;6;68;9;3
NODE;26;29;8;33;7;7;24;23;10;26;5;6
OPTIONS;0;0;0;0;0;0;0;0;0;0;0;0
PANEL_NODES;16;1;1;13;2;1;16;1;1;13;2;1
PANELS;87;24;5;92;9;5;87;24;5;92;9;5
PANELS_IN_PLACE_EDITOR;19;2;1;18;1;1;19;2;1;18;1;1
PATH;3;1;0;3;0;1;2;1;0;2;0;1
PATHAUTO;54;9;4;33;18;8;54;9;4;33;18;8
RULES;240;15;5;180;54;16;240;15;5;180;54;16
RULES_SCHEDULER;13;0;0;11;2;0;13;0;0;11;2;0
RULES_UI;26;0;0;20;3;3;26;0;0;20;3;3
SYSTEM;35;5;7;28;4;1;35;4;7;27;4;1
TAXONOMY;15;22;0;27;6;4;19;22;0;31;6;4
TEXT;6;3;0;9;0;0;5;3;0;8;0;0
TOKEN;37;7;6;20;15;3;37;7;6;20;15;3
USER;20;25;3;36;6;0;19;22;3;32;6;0
VIEWS;1091;51;70;807;205;60;1091;51;70;807;205;60
VIEWS_CONTENT;23;2;1;23;0;1;23;2;1;23;0;1
VIEWS_UI;12;4;1;15;0;0;12;4;1;15;0;0
WEBFORM;292;0;47;231;10;4;292;0;47;231;10;4
