Modules;LoC;CC/LLOC;CC/NM;TCs;Assertions;Reported Installs;Developpers;Changes 7.22 ;Changes 7.23;Faults 7.22;Faults 7.23
Backup and migrate;11639;0,37;2,61;0;0;281797;7;90;90;32;26
Blog;551;0,16;1,5;1;244;5259525;94;0;0;2;1
Captcha;3115;0,19;1,07;4;731;226295;43;15;15;7;6
CKEditor;13483;0,59;0;0;0;280919;29;40;40;39;38
Comment;5627;0,23;2,35;14;3287;5259525;94;2;1;20;20
Ctools;17572;0,52;4,17;7;121;747248;75;32;32;56;58
Ctools_access_ruleset;317;0,19;1;0;0;747248;75;0;0;7;6
Ctools_custom_content;284;0,3;2,43;0;0;747248;75;1;1;3;3
Date;2696;0,44;0;4;1724;412324;42;9;9;0;0
Date API;6312;0,6;8,72;1;106;412324;42;11;11;15;12
Date popup;792;0,36;0;0;0;412324;42;4;4;12;10
Date views;2383;0,44;3,95;0;0;412324;42;6;6;13;14
Entity api;13088;0,41;2,95;11;851;407569;45;14;14;21;20
Entity Token;327;1,09;0;1;6;407569;45;1;1;18;22
Features;8483;0,56;0;3;16;209653;36;72;72;19;20
Field;8618;0,41;4,93;9;870;5259525;94;6;7;1133;1133
Field_sql_storage;1292;0,3;3,5;1;94;5259525;94;1;2;14;14
Field_ui;2996;0,28;1,19;3;287;5259525;94;4;3;191;191
File;1894;0,67;0;39;2293;5259525;94;1;1;11;11
Filter;4497;0,17;1,62;9;958;5259525;94;1;3;24;24
Forum;2849;0,24;1,61;2;677;5259525;94;3;2;0;0
Google Analytics;2274;0,29;1,21;4;200;348278;21;14;14;38;38
Image;5027;0,29;1,63;2;677;5259525;94;9;3;61;61
Image Captcha;998;0,28;0;0;0;226295;43;0;0;3;2
IMCE;3940;0,47;0;0;0;392705;13;9;9;11;11
Jquery Update;50762;0,26;0;0;0;286556;17;1;1;42;42
Libraries API;1627;0,55;0;2;135;516333;7;7;7;45;45
Link;1934;0,63;3,42;8;1275;286892;31;11;11;31;31
Node;9945;0,27;1,61;32;1391;5259525;94;9;4;26;26
Options;898;0,17;1,22;2;227;5259525;94;0;1;292;292
Panel Nodes;480;0,35;0;0;0;206805;43;2;2;184;184
Panels;13390;0,35;4,94;0;0;206805;43;34;34;24;24
Panels In-Place Editor;1462;0,23;3,15;0;0;206805;43;20;20;9;9
Path;1026;0,14;1;5;330;5259525;94;0;2;12;12
PathAuto;3429;0,23;1,26;5;316;622478;33;2;2;86;86
Rules;13830;0,49;2,72;5;285;238388;52;5;5;204;204
Rules Scheduler;1271;0,15;1,31;1;7;238388;52;4;4;83;83
Rules UI;3306;0,39;3,47;0;0;238388;52;1;1;69;69
System;20827;0,31;2,7;58;2138;5259525;94;19;16;250;250
Taxonomy;5757;0,23;1,54;14;677;5259525;94;2;4;13;13
Text;1097;0,29;1,33;3;444;5259525;94;0;1;26;26
Token;4580;0,51;1,38;15;347;715563;31;10;10;18;18
User;8419;0,26;1,53;23;1355;5259525;94;7;12;3;3
Views;54270;0,41;3,56;51;1089;802467;178;27;27;93;93
views_content;2683;0,46;3,5;0;0;747248;75;5;5;17;17
Views_ui;782;0,37;0;9;538;802467;178;0;0;21;21
WebForm;13196;0,51;2,15;4;456;402163;46;46;46;103;103
